Plan de atención	inhabilitado	
Clinical Instructions	inhabilitado
Nota Clínica	Activado 
Eye Exam	inhabilitado 
Hoja de tarifas	inhabilitado 
Functional and Cognitive Status	inhabilitado 
Group Attendance Form	inhabilitado 
Diversas opciones de facturación HCFA	inhabilitado 
Formulario Nueva Visita	inhabilitado 
New Group Encounter Form	Activado 
Observation	inhabilitado 
Orden de Procedimiento	inhabilitado 
Revisión de los sistemas	inhabilitado 
Revisión de chequeos de sistemas	inhabilitado 
SOEP	Activado 
Dictado	inhabilitado 
Signos Vitales	Activado
