Code;Title
1A00;Cólera
1A01;infecciones intestinales por otros vibriones
1A02;Shigelosis
1A03;Infecciones intestinales por Escherichia coli
1A03.0;Infección por Escherichia coli enteropatógena
1A03.1;infección por Escherichia coli enterotoxigénica
1A03.2;Infección por Escherichia coli enteroinvasora
1A03.3;Infección por Escherichia coli enterohemorrágica
1A03.Y;Infecciones intestinales especificadas por otra Escherichia coli
1A03.Z;"Infecciones intestinales debidas a Escherichia coli, sin especificación"
1A04;Infección intestinal por Clostridium difficile
1A05;Infecciones intestinales por Yersinia enterocolitica
1A06;Gastroenteritis por Campylobacter
1A07;Fiebre tifoidea
1A07.0;Peritonitis tifoidea
1A07.Y;Otra fiebre tifoidea especificada
1A07.Z;"Fiebre tifoidea, sin especificación"
1A08;Fiebre paratifoidea
1A09;Infecciones debidas a otra Salmonella
1A09.0;Enteritis por Salmonella
1A09.Y;Infecciones debidas a otra Salmonella en otros órganos
1A09.Z;"Infección por otra Salmonella, sin especificación"
1A0Y;Otras infecciones intestinales bacterianas especificadas
1A0Z;"Infecciones intestinales bacterianas, sin especificación"
1A10;Intoxicación alimentaria estafilocócica
1A11;Botulismo
1A11.0;Intoxicación alimentaria por toxina botulínica
1A11.1;Otros tipos de botulismo
1A11.Z;"Botulismo, sin especificación"
1A12;Intoxicación alimentaria por Clostridium perfringens
1A13;Intoxicación alimentaria por Bacillus cereus
1A1Y;Otras intoxicaciones bacterianas alimentarias especificadas
1A1Z;"Intoxicaciones bacterianas alimentarias, sin especificación"
1A20;Enteritis por adenovirus
1A21;Gastroenteritis por astrovirus
1A22;Gastroenteritis por Rotavirus
1A23;Enteritis por Norovirus
1A24;Infecciones intestinales por Cytomegalovirus
1A2Y;Otras virosis intestinales especificadas
1A2Z;"Virosis intestinales, sin especificación"
1A30;Infección por Balantidium coli
1A31;Giardiasis
1A32;Criptosporidiosis
1A33;Cistoisosporiasis
1A33.0;Cistoisosporiasis del intestino delgado
1A33.1;Cistoisosporiasis del colon
1A33.Y;Otras infecciones especificadas por Cystoisospora
1A33.Z;"Infecciones por Cystoisospora, sin especificación"
1A34;Sarcocistosis
1A35;Blastocistosis
1A36;Amebiasis
1A36.0;Infecciones intestinales por Entamoeba
1A36.00;Amebiasis aguda
1A36.01;ameboma intestinal
1A36.0Z;"Infecciones intestinales por Entamoeba, sin especificación"
1A36.1;Infecciones extraintestinales por Entamoeba
1A36.10;Absceso amebiano del hígado
1A36.11;Absceso amebiano del pulmón
1A36.12;Amebiasis cutánea
1A36.1Y;Amebiasis en otras localizaciones especificadas
1A36.Z;"Amebiasis, sin especificación"
1A3Y;Otras infecciones intestinales especificadas por protozoarios
1A3Z;"Infecciones intestinales por protozoarios, sin especificación"
1A40;Gastroenteritis o colitis sin especificación del agente infeccioso
1A40.0;Gastroenteritis o colitis sin especificación del origen
1A40.Z;Gastroenteritis o colitis infecciosa sin especificación del agente infeccioso
1A60;Sífilis congénita
1A60.0;"Sífilis congénita temprana, sintomática"
1A60.1;"Sífilis congénita temprana, latente"
1A60.2;Oculopatía sifilítica congénita tardía
1A60.3;Neurosífilis congénita tardía
1A60.4;"Otra sífilis congénita tardía, sintomática"
1A60.5;"Sífilis congénita tardía, latente"
1A60.Z;"Sífilis congénita, sin especificación"
1A61;Sífilis temprana
1A61.0;Sífilis primaria genital
1A61.1;Sífilis primaria anal
1A61.2;Sífilis primaria de otras localizaciones
1A61.3;Sífilis secundaria de la piel o de las membranas mucosas
1A61.4;Sífilis secundaria en otras localizaciones
1A61.5;Sífilis temprana latente
1A61.Y;Otra sífilis temprana especificada
1A61.Z;"Sífilis temprana, sin especificación"
1A62;Sífilis tardía
1A62.0;Neurosífilis
1A62.00;Neurosífilis asintomática
1A62.01;Neurosífilis tardía sintomática
1A62.0Z;"Neurosífilis, sin especificación"
1A62.1;Sífilis tardía cardiovascular
1A62.2;Sífilis sintomática tardía en otros sitios
1A62.20;Sífilis ocular tardía
1A62.21;Sífilis tardía con afectación del aparato musculoesquelético
1A62.22;Sífilis tardía de la piel o de las membranas mucosas
1A62.2Y;Otra sífilis sintomática tardía de otros sitios especificados
1A62.2Z;Sífilis sintomática tardía de otros sitios sin especificación
1A62.Y;Otra sífilis tardía especificada
1A62.Z;"Sífilis tardía, sin especificación"
1A63;"Sífilis latente, sin especificarse si es temprana o tardía"
1A6Z;"Sífilis, sin especificación"
1A70;Infección gonocócica genitourinaria
1A70.0;Infección gonocócica del aparato genitourinario inferior sin absceso periuretral o de las glándulas accesorias
1A70.00;Gonorrea del pene
1A70.0Y;Otra infección gonocócica especificada del aparato genitourinario inferior sin absceso periuretral o de las glándulas accesorias
1A70.0Z;"Infección gonocócica del aparato genitourinario inferior sin absceso periuretral o de las glándulas accesorias, sin especificación"
1A70.1;Infección gonocócica del aparato genitourinario inferior con absceso periuretral o de las glándulas accesorias
1A70.Y;Otra infección gonocócica genitourinaria especificada
1A70.Z;"Infección gonocócica genitourinaria, sin especificación"
1A71;Pelviperitonitis gonocócica
1A72;Infección gonocócica en otras localizaciones
1A72.0;Infección gonocócica del sistema musculoesquelético
