Code;Title;DepthInKind
1A00;Cólera;1
1A01;Infecciones Intestinales Por Otros Vibriones;1
1A02;Shigelosis;1
1A03;Infecciones Intestinales Por Escherichia Coli;1
1A03.0;Infección Por Escherichia Coli Enteropatógena;2
1A03.1;Infección Por Escherichia Coli Enterotoxigénica;2
1A03.2;Infección Por Escherichia Coli Enteroinvasora;2
1A03.3;Infección Por Escherichia Coli Enterohemorrágica;2
1A03.Y;Infecciones Intestinales Especificadas Por Otra Escherichia Coli;2
1A03.Z;"Infecciones Intestinales Debidas A Escherichia Coli, Sin Especificación";2
1A04;Infección Intestinal Por Clostridium Difficile;1
1A05;Infecciones Intestinales Por Yersinia Enterocolitica;1
1A06;Gastroenteritis Por Campylobacter;1
1A07;Fiebre Tifoidea;1
1A07.0;Peritonitis Tifoidea;2
1A07.Y;Otra Fiebre Tifoidea Especificada;2
1A07.Z;"Fiebre Tifoidea, Sin Especificación";2
1A08;Fiebre Paratifoidea;1
1A09;Infecciones Debidas A Otra Salmonella;1
1A09.0;Enteritis Por Salmonella;2
1A09.Y;Infecciones Debidas A Otra Salmonella En Otros órganos;2
1A09.Z;"Infección Por Otra Salmonella, Sin Especificación";2
1A0Y;Otras Infecciones Intestinales Bacterianas Especificadas;1
1A0Z;"Infecciones Intestinales Bacterianas, Sin Especificación";1
1A10;Intoxicación Alimentaria Estafilocócica;1
1A11;Botulismo;1
1A11.0;Intoxicación Alimentaria Por Toxina Botulínica;2
1A11.1;Otros Tipos De Botulismo;2
1A11.Z;"Botulismo, Sin Especificación";2
1A12;Intoxicación Alimentaria Por Clostridium Perfringens;1
1A13;Intoxicación Alimentaria Por Bacillus Cereus;1
1A1Y;Otras Intoxicaciones Bacterianas Alimentarias Especificadas;1
1A1Z;"Intoxicaciones Bacterianas Alimentarias, Sin Especificación";1
1A20;Enteritis Por Adenovirus;1
1A21;Gastroenteritis Por Astrovirus;1
1A22;Gastroenteritis Por Rotavirus;1
1A23;Enteritis Por Norovirus;1
1A24;Infecciones Intestinales Por Cytomegalovirus;1
1A2Y;Otras Virosis Intestinales Especificadas;1
1A2Z;"Virosis Intestinales, Sin Especificación";1
1A30;Infección Por Balantidium Coli;1
1A31;Giardiasis;1
1A32;Criptosporidiosis;1
1A33;Cistoisosporiasis;1
1A33.0;Cistoisosporiasis Del Intestino Delgado;2
1A33.1;Cistoisosporiasis Del Colon;2
1A33.Y;Otras Infecciones Especificadas Por Cystoisospora;2
1A33.Z;"Infecciones Por Cystoisospora, Sin Especificación";2
1A34;Sarcocistosis;1
1A35;Blastocistosis;1
1A36;Amebiasis;1
1A36.0;Infecciones Intestinales Por Entamoeba;2
1A36.00;Amebiasis Aguda;3
1A36.01;Ameboma Intestinal;3
1A36.0Z;"Infecciones Intestinales Por Entamoeba, Sin Especificación";3
1A36.1;Infecciones Extraintestinales Por Entamoeba;2
1A36.10;Absceso Amebiano Del Hígado;3
1A36.11;Absceso Amebiano Del Pulmón;3
1A36.12;Amebiasis Cutánea;3
1A36.1Y;Amebiasis En Otras Localizaciones Especificadas;3
1A36.Z;"Amebiasis, Sin Especificación";2
1A3Y;Otras Infecciones Intestinales Especificadas Por Protozoarios;1
1A3Z;"Infecciones Intestinales Por Protozoarios, Sin Especificación";1
1A40;Gastroenteritis O Colitis Sin Especificación Del Agente Infeccioso;1
1A40.0;Gastroenteritis O Colitis Sin Especificación Del Origen;2
1A40.Z;Gastroenteritis O Colitis Infecciosa Sin Especificación Del Agente Infeccioso;2
1A60;Sífilis Congénita;1
1A60.0;"Sífilis Congénita Temprana, Sintomática";2
1A60.1;"Sífilis Congénita Temprana, Latente";2
1A60.2;Oculopatía Sifilítica Congénita Tardía;2
1A60.3;Neurosífilis Congénita Tardía;2
1A60.4;"Otra Sífilis Congénita Tardía, Sintomática";2
1A60.5;"Sífilis Congénita Tardía, Latente";2
1A60.Z;"Sífilis Congénita, Sin Especificación";2
1A61;Sífilis Temprana;1
1A61.0;Sífilis Primaria Genital;2
1A61.1;Sífilis Primaria Anal;2
1A61.2;Sífilis Primaria De Otras Localizaciones;2
1A61.3;Sífilis Secundaria De La Piel O De Las Membranas Mucosas;2
1A61.4;Sífilis Secundaria En Otras Localizaciones;2
1A61.5;Sífilis Temprana Latente;2
1A61.Y;Otra Sífilis Temprana Especificada;2
1A61.Z;"Sífilis Temprana, Sin Especificación";2
1A62;Sífilis Tardía;1
1A62.0;Neurosífilis;2
1A62.00;Neurosífilis Asintomática;3
1A62.01;Neurosífilis Tardía Sintomática;3
1A62.0Z;"Neurosífilis, Sin Especificación";3
1A62.1;Sífilis Tardía Cardiovascular;2
1A62.2;Sífilis Sintomática Tardía En Otros Sitios;2
1A62.20;Sífilis Ocular Tardía;3
1A62.21;Sífilis Tardía Con Afectación Del Aparato Musculoesquelético;3
1A62.22;Sífilis Tardía De La Piel O De Las Membranas Mucosas;3
1A62.2Y;Otra Sífilis Sintomática Tardía De Otros Sitios Especificados;3
1A62.2Z;Sífilis Sintomática Tardía De Otros Sitios Sin Especificación;3
1A62.Y;Otra Sífilis Tardía Especificada;2
1A62.Z;"Sífilis Tardía, Sin Especificación";2
1A63;"Sífilis Latente, Sin Especificarse Si Es Temprana O Tardía";1
1A6Z;"Sífilis, Sin Especificación";1
1A70;Infección Gonocócica Genitourinaria;1
1A70.0;Infección Gonocócica Del Aparato Genitourinario Inferior Sin Absceso Periuretral O De Las Glándulas Accesorias;2
1A70.00;Gonorrea Del Pene;3
1A70.0Y;Otra Infección Gonocócica Especificada Del Aparato Genitourinario Inferior Sin Absceso Periuretral O De Las Glándulas Accesorias;3
1A70.0Z;"Infección Gonocócica Del Aparato Genitourinario Inferior Sin Absceso Periuretral O De Las Glándulas Accesorias, Sin Especificación";3
1A70.1;Infección Gonocócica Del Aparato Genitourinario Inferior Con Absceso Periuretral O De Las Glándulas Accesorias;2
1A70.Y;Otra Infección Gonocócica Genitourinaria Especificada;2
1A70.Z;"Infección Gonocócica Genitourinaria, Sin Especificación";2
1A71;Pelviperitonitis Gonocócica;1
1A72;Infección Gonocócica En Otras Localizaciones;1
1A72.0;Infección Gonocócica Del Sistema Musculoesquelético;2
1A72.1;Infección Gonocócica Del Recto;2
1A72.2;Infección Gonocócica De Ano;2
1A72.3;Faringitis Gonocócica;2
1A72.4;Infección Gonocócica Del Ojo;2
1A72.Y;Otra Infección Gonocócica En Otras Localizaciones Especificadas;2
1A73;Infección Gonocócica Diseminada;1
